,H20.33.020,H20.33.044,H21.33.003,H21.33.004,H21.33.005,H21.33.009,H21.33.023,H21.33.044
AP1B1,8.656871777441657,8.92923865487964,8.752986529499852,8.758692180009033,8.605444242954974,8.613518622283792,8.6964874713017,8.773756591926688
AP1G1,9.458987588495628,9.654069819929326,9.529068205163869,9.577553113738382,9.439413115092409,9.556813498873266,9.584254015180827,9.485064242920696
AP1G2,9.076566136330559,9.407338914743463,8.951785670946276,8.662180577676752,9.162641787167322,8.774482373558676,8.891022985139486,8.451094463023978
AP1M1,9.50077559585884,9.276682192767144,9.039002568136663,9.090776597878065,9.44102649768906,9.340622457663358,9.198603708851415,9.510366664360994
AP1S1,7.8393022304494835,8.586947944154051,8.13826427045819,7.870755332388906,7.852745325625456,8.114535462684112,7.88817359418868,8.559538960904398
AP1S2,7.1100553004494325,7.877857383513025,7.89895942693573,7.735325599815509,7.563086416789093,7.092052789111991,7.666371422004888,7.515597606018268
AP1S3,8.703458632808008,8.98830115189304,8.558066385469287,9.00909875699454,8.655711681191876,8.23187628509377,8.762243383502918,8.85951822077199
AP2A1,8.962186016805115,9.115643288304467,8.95233204829849,8.954218902623108,8.80902903491579,9.007060612470541,8.846858474305964,8.884416412921375
AP2A2,10.037159332219861,10.200334773519678,9.911214097437579,10.009878928195917,9.892670044621008,10.10567494861779,9.890492917611883,10.149163212461593
AP2B1,10.30780657074141,10.363265071596341,10.312273427427792,10.277246797609648,10.24770020331108,10.335670367154927,10.335431393563974,10.519957870898123
AP2M1,8.835251014977816,9.19219030821157,9.211394132654773,8.790888173600928,8.902946067666823,9.381527322863228,8.564872323009517,9.226384432049112
AP2S1,8.25651668521011,8.40695642449934,8.103293455257056,7.941529696472651,8.054540426307234,8.717407642313313,7.784333298823197,8.268512180240508
AP3B1,9.481948102682022,9.576392981306777,9.595252446538973,9.450605234673013,9.502303712495578,9.401707613798411,9.484912652021212,9.458274107547933
AP3B2,9.971126796133667,10.004416312837375,9.708586661273678,9.903538864625304,9.951583887274689,9.769771583945623,9.884857957485423,9.913173549441463
AP3D1,9.046810794063404,9.129269341615792,8.963129825701449,8.964862298717614,9.062688914389565,8.948341725217006,8.824593749822515,8.83294919923089
AP3M1,8.174397239278138,8.540967804962824,8.134404093866642,8.300552895692073,8.249272527923312,7.885315140890808,8.227418216178975,8.102497472692518
AP3M2,8.511787598984096,8.798967931790031,8.63952678045304,8.536203590488936,8.516329331392832,8.70218915920531,8.506174776290717,8.247347985909762
AP3S1,9.63088859240624,9.87209379977108,9.891255938197586,9.783922661419167,9.796817454409885,9.53734278597767,9.711306418408958,9.6259766653179
AP3S2,9.215943033692799,9.420489413685535,9.272858755681934,9.339731129202987,9.14126130638498,9.18998962486881,9.270746323737638,9.170710396293384
AP4B1,7.712389831176557,8.341374281456883,8.000870395927148,8.137927422372677,8.00699079224586,7.610022445729902,8.172270087868652,7.998364227458477
AP4E1,8.885883315684731,9.063327311624029,9.021571166920648,9.00993748014914,8.985749697388673,8.80322997151878,9.049973143669124,8.806718622955842
AP4M1,7.092525448212929,7.895440804463757,7.469309405612508,7.337547220768881,7.192072672090532,6.839269842945566,7.471072000829286,6.978369331941104
AP4S1,9.774911581522003,9.685866906337463,9.598227530201124,9.629606454165152,9.675609499727958,9.609892169617586,9.664837300001402,9.669080050275848
