,H20.33.020,H20.33.044,H21.33.003,H21.33.004,H21.33.005,H21.33.009,H21.33.023,H21.33.044
NXN,5.548093588151719,5.025041953938642,5.352813944749307,5.628848614848179,5.504924104709179,4.550794454251385,5.562746781520419,5.020205967722901
NXPE3,5.703981520407485,5.41594658223106,5.490353153464387,5.4988273346209775,5.5465547465441745,5.834094045488406,5.406352127000768,5.499705081553631
NXPH1,8.892249932099483,8.662620209016595,8.784462395306049,8.699826922021481,8.584567044780057,8.505514702510627,8.919500707738568,8.6730033574403
OARD1,3.8802652021828377,4.76611491488313,4.746528062344785,4.984338692879807,4.383830570149221,3.557502822022471,4.742525647001612,4.0815261510171394
OAT,4.424837446330126,4.589294288472403,4.556904282440126,4.486006883970917,4.76624027567828,4.716222785392043,4.79043297918983,4.8976289698361555
OAZ1,4.54128891162773,5.21847092759895,4.716027672679867,4.452493723713863,5.160329224978441,4.982378924561273,4.879867538580645,5.051748295790542
OAZ2,4.055572941605199,4.577851598929312,4.410524435541677,4.403604407587522,4.365022297762743,4.104824808363076,4.3867817603090575,4.2190837069969245
OBI1,3.6675509926604595,4.285913862816465,4.187790737758998,3.993508581737182,3.7911077187703777,2.8924667266221964,3.9002939449354304,3.99604829594391
OBSL1,4.361097017159819,5.236501021165797,4.311166427230732,4.709533879247603,4.52277479076565,3.953419175445536,4.655414439229225,4.774425112430026
OCIAD1,5.841812650018919,6.305317820199487,6.133820572454882,6.0607908541751065,6.183790927911428,6.015927804503582,6.181011529672648,6.120823146064691
OCLN,3.361884357155899,3.4415497644164126,3.5723769528138742,3.5701354645617807,3.7911077187703777,3.7749280689000515,3.933900674581252,3.33849569288203
OCRL,4.3208067303090365,4.622857115257573,4.491249164826354,4.660930584968045,4.056038044180289,3.953419175445536,4.407575954621406,4.401333163786027
ODF2,4.3208067303090365,4.839614602694966,4.378489589673697,4.381897312080783,4.43822168787578,4.456539598652263,4.343849415655371,4.19010889311433
ODF2L,4.730967289525237,5.14291247690505,5.1541036709095875,5.101360961146349,5.281278910886139,5.1438686652583545,5.0487125041854,5.0329425358428646
ODR4,5.363334796456186,5.537652697729335,5.3968816966290545,5.579291836093412,5.504924104709179,5.238648243222878,5.383349460351899,5.5575178996165135
OFD1,5.6582744982752695,5.6016696379717414,5.457700867405086,5.601140643868298,5.820054944059839,4.85812972771352,5.703604651788321,5.870136134361767
OGA,6.510760459433668,6.444485610182204,6.559612000460959,6.542138372542629,6.4428305622015065,6.707854448583169,6.425633596410975,6.612682084269206
