,H20.33.020,H20.33.044,H21.33.003,H21.33.004,H21.33.005,H21.33.009,H21.33.023,H21.33.044
SLC2A13,10.412770671939368,10.19856292141435,10.364848270101469,10.262942820980935,10.302112649222309,10.611545345848459,10.319262526671377,10.656760588460568
SLC2A3,6.86581944837766,7.375812129570967,7.259105623825692,7.080544987161036,6.908902349003258,7.494372854223789,6.972405069804975,7.09045236172454
SLC2A4RG,5.990432794275435,6.012395980621314,5.646643232576663,5.588062204997869,6.298313770941847,5.478347839325514,5.932668278710278,5.733593978951384
SLC2A6,6.090015356124031,6.771702269089947,6.39281013650773,6.730277156028562,6.498981204057279,6.021523026404655,6.546415524644941,6.550094632565114
SLC2A8,5.892061571046267,6.358513228566447,5.9510145371317735,6.096194172058991,6.042309733441459,5.667570591028402,5.94074410647338,5.785389885310271
SLC2A9,7.351102801698396,6.254813973335048,6.902819947982764,6.536965924288701,7.173316567848222,7.080352628543707,6.9231958406426735,7.40243655994052
SLC30A10,6.207546651860226,6.573336778523942,6.240032894503021,6.399343754951239,5.8735472141060345,6.291471730947433,6.268672453744693,6.661169732106565
SLC30A4,6.874963328473364,6.860966064942476,6.704076151456365,6.7977509127464115,6.902950008646359,6.617380961984841,6.76619386285371,6.761131311936782
SLC30A5,7.301849892943607,7.885003819347492,7.536501587724914,7.718108883231253,7.404173614370332,7.253792929456706,7.502309807950711,7.419817789403675
SLC30A6,7.7801046019260705,7.859441693189527,7.852161613823319,7.846342509392933,7.980777603999474,7.640777431261516,7.704796189401241,7.83650727985348
SLC30A7,7.756825088453191,7.87375936410091,8.04776538470376,8.05883346466404,7.764637037426421,7.808297043140426,7.9780491695530555,7.865298054865317
SLC30A9,8.393055845259731,8.766147098280031,8.72754491085109,8.782691222835133,8.477139565314323,8.54525389447844,8.659022323190362,8.503144877687896
SLC31A1,6.340271511144191,7.079798879558417,6.795522696989642,6.895975092976967,6.57362023337883,6.410300191753149,6.87223167841776,6.567562992359464
SLC32A1,6.284358483874507,7.468161464409414,6.90325839226136,6.703915544277449,6.106111257372265,6.57925407923054,6.631568141450481,6.707392609438866
SLC33A1,7.306294646924987,7.492580036079678,7.387468602223192,7.404888678107027,7.327791539031169,7.167549797241248,7.36843530012095,7.2657669809769
SLC35A1,8.092905843727994,8.718991416299414,8.740961998639795,8.783587252366189,8.32706938315286,8.19767856715007,8.615910492414221,8.204360150616898
SLC35A3,7.402081248469946,7.813501738378994,7.746089776354437,7.880265665181502,7.600559883751849,7.430096936129195,7.751906345463016,7.566115720042633
SLC35A5,6.16680857768834,7.113529410795277,6.880200485033753,6.842412015603052,6.528351465944808,6.221484075002386,6.805912183764757,6.251077336017767
SLC35B1,5.447705866329848,6.378887110902764,5.80314720943063,5.873314355645895,5.933022616347799,5.457815553000467,5.867765882888525,5.834634576070596
SLC35B3,6.396900218148115,7.007183967708949,6.745469502477794,6.9219797795775,6.727176029756183,6.379829968281688,6.859475467402451,6.707392609438866
SLC35B4,7.292900674775621,7.752666443793938,7.647818057483171,7.570430851138612,7.308080121705226,7.195308232082935,7.517383526380947,7.277187732849714
SLC35C2,6.425840133438072,7.282847620057561,6.72734172579728,6.9406633568249365,6.489999240197842,6.044859812568915,6.850610217955146,6.266795561664644
SLC35D1,7.71841252839992,7.747181323623338,7.695186642448258,7.722823780397601,7.683227626737892,7.414827487636537,7.682850267042064,7.623953994340636
SLC35E1,7.0836883504500685,7.265785151114547,6.940263135746822,6.929807069334719,6.9684203096127835,6.8678557804561615,6.870646022503937,6.97448271081071
SLC35E2B,6.764394470168501,7.49021224976418,7.484930130554398,7.350765465220998,7.500633334556035,7.181525327908079,7.28235778465856,7.392367082770386
SLC35E3,8.697616487526671,8.556158486467194,8.562947464517437,8.365828972831778,8.594120387812971,8.525422034260997,8.44022515758771,8.476977382081316
SLC35E4,7.328226822187819,6.9615849648940795,6.883335576466787,6.759049245265129,7.246501577942038,6.911215783790061,7.0048409260216475,6.856336220885265
SLC35F1,10.580390021660985,10.376201295733077,10.43380510980103,10.538942800583124,10.458402259059351,10.462365497404322,10.452029640446202,10.299169755517152
SLC35F2,6.9452518015636375,6.738074952295441,6.563588396014729,6.6118499815632115,6.385475429810611,6.602634379853356,6.640597023181713,6.825597460551422
SLC35F3,9.64430247400349,9.442262431835367,9.578541983974997,9.535552098721789,9.814588150652634,9.675256420938627,9.650073748399347,9.895517339867837
SLC35F4,9.752520388883848,9.380409276838202,9.655941805193809,9.540033082421118,9.84128628916815,9.523889087923562,9.715463652585541,9.648025244107613
SLC35F5,8.23802834651667,8.55958165234694,8.687136222823797,8.612823604719773,8.261748279892254,8.30792287586927,8.429766561510386,8.368689846500708
SLC35F6,5.660451513497188,5.8672717788537625,5.736436903620257,5.653484995853848,5.749130234919346,5.547062257128238,5.462633782668029,5.72021467966687
SLC35G1,6.10977356333312,5.784658364337713,6.561122746749146,6.1326095866501715,6.6760706315344605,5.815803842328182,6.3976105842263165,6.106444021890697
SLC35G2,7.7837795428250205,7.886599898171336,7.559732816877748,7.616728206848286,7.602539092959632,7.244279936349164,7.71473864681834,7.502461943933102
SLC36A1,7.260932249094442,7.591573745268387,7.895666285397515,7.644580262103279,7.569370387408441,7.724821801367668,7.86609251894287,7.394893973727954
SLC36A4,8.07387647348325,8.551903981181654,8.39266378151367,8.455979196645856,8.348397156004133,8.09476448338681,8.396683586374461,8.118802216333675
SLC37A1,7.541062488803267,7.675360450240767,7.505062800857397,7.758402538956914,7.692306177775334,7.43513537570364,7.540389025621588,7.741236603910912
SLC37A3,7.597866635328762,7.837573324385399,7.788395460027477,7.884276192625926,7.725197887716564,7.6074969241254715,7.7931186522141305,7.691843256141327
SLC38A1,9.015054716383297,9.030184472753351,9.231863217060122,9.085580308176986,9.06597839194029,9.156364718561019,8.987164578938424,9.020367546473263
SLC38A10,6.980675558816841,7.27170170487944,7.009219633827471,7.09826901904584,7.2002842952597454,6.745444232627567,7.181793240935971,7.1788191533220145
SLC38A2,7.501722725522233,7.868901335068264,7.8420980635169,7.505068114997804,7.6517291034198305,7.896262819846415,7.4959614078017545,7.601629076614206
SLC38A6,8.461468327195053,8.599927205267091,8.657011642896068,8.667419946303474,8.661828619341955,8.549032097939316,8.594911046065297,8.383823830505364
SLC38A7,7.094708674632841,7.269930411436504,7.026031407398362,7.218153992565253,7.401759626342153,6.848681501720979,7.168333362567545,7.012188391891859
SLC38A9,7.874037035296529,8.32334162060848,8.294703784129824,8.213898944067553,8.076302954011563,7.9998188481789825,8.07516174592614,7.984089055131768
SLC39A10,8.428809722525878,8.718713876665333,8.678260616324371,8.738709353559447,8.614091967241535,8.386075876556845,8.582955834164922,8.665091662317664
SLC39A11,7.427283055216972,7.876018392923842,7.715820956899931,7.924482558518319,7.568347897581299,7.923064232495488,7.683554416068809,7.667162056882902
SLC39A13,5.139115594150213,6.573336778523942,5.928032721752881,5.873314355645895,5.780187681658574,5.431542771480902,5.770140270841842,5.442554688665687
SLC39A14,7.672333155398641,7.635164988945172,7.608974444353922,7.716216682234161,7.853083211261363,7.600218968610584,7.7016903910280625,7.479537959537821
SLC39A6,6.861215962035334,7.4911600371658835,7.243007658124047,7.106143482220619,7.079448757247806,6.769479705954477,7.03558508496847,6.877728010818936
SLC39A7,4.874634691422176,6.055113352736684,5.542871490252209,5.302288580626082,5.033686054948937,4.799436536992013,4.974909727250063,5.056837358792572
SLC39A9,7.546890322869079,7.809375437680305,7.62251782048635,7.794073777808109,7.459286890703896,7.422854841271949,7.656803485295542,7.50698434767329
SLC3A1,5.164609586593229,6.790012891801117,5.808401450173851,6.601076971052841,5.1435459204067655,5.192056873434166,6.518599113133962,5.664832182782476
SLC3A2,7.142850250304747,7.605612478604141,7.158045167998461,7.412615990358823,7.335568586258737,7.258087280848829,7.258956294586246,7.441730153984479
SLC40A1,6.16680857768834,6.314941732072354,6.498076323512247,6.36061349992799,6.559692622724575,5.98239934742183,6.4521262078037305,6.124586187715523
SLC41A1,6.453966032382565,6.339215577609386,6.500046390212593,6.313607149583236,6.388808711504356,6.192057347837312,6.501530123157748,6.451397356271763
SLC41A2,8.993679178219505,8.915157015145967,8.91866420458945,8.986034569373153,8.836551847294634,8.967235655243066,8.915562656925381,9.07638719720635
SLC41A3,7.229505558743789,7.540149167096308,7.435199767780373,7.498320019329447,7.203236305462754,7.075220843452549,7.377079608488978,7.133974829643491
SLC43A2,8.120787689418922,8.055263292468792,7.826374989603023,8.012040352471109,8.189114539877558,8.182832598482829,7.9730554774390505,8.174719685740532
SLC44A1,9.020660779463201,8.882588313752473,9.002338829870695,8.988757307150907,8.948352789240316,9.049831057324766,9.003469327188107,8.946689077590873
SLC44A2,7.507783687319858,7.727181975683034,7.166840027011879,7.4441854451562515,7.503912008368731,7.188899843227312,7.426067670781281,7.348403213942033
SLC44A3,5.698062909285313,6.417044683804588,6.2133023624520165,6.254117835139391,5.984183379025928,5.680106169155305,6.313986222509409,6.115556246511495
SLC44A5,10.349331908044563,10.520625179587482,10.766899493263741,10.663481755031247,10.645172012141808,10.365387094431913,10.735704140412855,10.623029892871765
SLC45A1,6.090015356124031,6.840294479409885,6.466015693292366,6.475035574320918,6.316364481605652,5.960681078916016,6.386083934706133,5.785389885310271
SLC45A2,5.910139350607549,5.235126590725012,5.271733841546688,5.7743919291283,5.742801297163968,5.633353188577382,6.3770259950085,5.6789680034938375
SLC45A4,7.8055500163735205,7.81931833800799,7.894040081454435,7.907225312472815,8.107214413791406,7.5855021978236525,7.902655895490399,7.623953994340636
SLC46A3,6.9238126439864915,7.07693596398598,6.834775489395174,6.737863093629407,6.611616155004656,6.704551996757427,7.088011151508153,6.902808382467438
SLC47A1,7.187116253797846,7.786723844498591,7.653423463132326,7.848418973009907,7.2798146319291135,7.627834718752587,7.568026069821668,7.444135484711209
SLC48A1,6.336379760639463,6.726948869618497,6.268551341737748,6.4560170220666535,6.368640294551569,6.416284387772037,6.2744502453978015,6.555951389524832
SLC49A4,7.86562269353011,8.189697695672683,7.988990785838407,8.142156154110108,7.612376802940527,8.007949562679253,8.076588175250999,7.805190002300175
SLC4A10,10.365763598831984,10.51435444011704,10.62164428751361,10.650664013708694,10.538718235175455,10.550733094885151,10.600680219566954,10.440273033796247
SLC4A1AP,7.034478312199965,7.534268601359602,7.279171407903793,7.293905690645961,7.194354002429989,7.18798099743027,7.1256023099664185,7.215718779570033
SLC4A3,6.9765726026796715,7.619456851335004,7.268276377817974,7.153794191667389,7.406581789090749,7.002680619562625,7.055568325718602,7.188172491387523
SLC4A4,8.280771013033227,8.439011620086411,8.750337854124647,8.703082252447562,8.893062398289324,8.380791219337421,8.781859767127997,8.566107297507951
SLC4A5,7.791999111701772,7.498239953256252,7.574403144896175,7.514960883521196,7.257729688459612,7.528300976798314,7.323551722202457,7.446535043702191
SLC4A7,8.755133281147854,8.92627053637012,9.09141529314578,8.950154172988858,9.04259772392709,8.890185522634283,9.140505190164658,8.856671313482984
SLC4A8,8.426883361028104,8.829856555895343,9.121337219262475,9.043282080439843,8.669341020388421,8.94954943657629,8.863946765620494,8.835384396156163
SLC50A1,5.5639556192575395,6.192575347949038,5.586335403339762,5.5700032742683945,5.810309547228596,5.365520175341641,5.786696628887453,5.72021467966687
SLC5A3,8.116194367158588,7.884684297658758,8.327415206566696,7.79996978706895,8.202225864233766,8.354799748602279,8.066080133966587,7.810200506051831
SLC5A4,4.874634691422176,6.674754654098319,6.845978563390979,5.8777894241277995,5.499625604074957,4.7791974320942305,6.811820331434156,5.224922984471706
SLC5A6,5.457143985192199,6.313404873357712,5.890126585313407,5.8822445555583345,5.856693348933622,5.597923346479501,5.760554950045098,5.224922984471706
SLC5A8,6.854270751804914,7.168644292694981,7.483704277127917,7.280818791669525,6.771266193670958,7.026730173480063,7.310859959275872,7.419817789403675
SLC66A1,5.503042924320027,6.213188329420869,5.600950998291287,5.855211089676456,5.730021972722707,5.542307633198634,5.802983332379421,5.202572411468866
SLC66A2,7.9606675051400355,7.864019590331086,7.695782141496791,7.79996978706895,7.859985053080495,7.674682451583437,7.8998248833577165,7.708580252532246
SLC66A3,5.683187670627693,6.328668196793448,5.824000533467623,6.2091961274848115,5.717077220816555,5.547062257128238,6.1239674621915645,5.858376410826239
SLC6A1,10.081207915488108,10.243966060051063,10.211846165755588,10.201346223497003,9.932858047623869,10.041738309331778,10.135746208227218,9.482596667537681
SLC6A11,7.7085743265336895,7.895807253533167,7.694392091685329,7.593713643270496,7.6610968102005215,7.604470877205865,7.778502726622483,7.580891918931628
SLC6A15,8.212075140450485,8.20466111167719,8.216733033684234,8.252023637629653,8.104824219508966,8.311814721180973,8.112749554919652,8.292471422528493
SLC6A16,6.259404402153578,6.278982269076083,6.077807952460837,6.422054496580281,5.964032063639873,5.688376763340339,6.471235648700714,6.444892990982712
SLC6A17,8.312616394931556,8.360362822169584,8.35087873241635,8.363105147744765,8.434606926992862,8.321034605490622,8.263282983730367,8.461463085387944
SLC6A6,7.777339506239856,7.805923799626442,7.904563441207516,7.999813489117895,7.838354319058492,7.929215875426404,7.7953242055857865,7.803514239888733
SLC6A7,6.604915192481453,6.768780221423063,6.2978863281159105,6.412508977580869,7.062627642126489,6.714932887705609,6.4052218596455415,7.062696262707052
SLC6A8,6.951594933035315,6.666144840711291,6.627384334301782,6.569535137995146,6.910878614994467,6.706041595229868,6.534271520921008,6.911030644199923
SLC7A1,7.833859115302407,7.717030283786719,7.661875742202578,7.749969213581172,7.553922166791119,7.644860683904687,7.583315640981322,7.746577132862797
