,H20.33.020,H20.33.044,H21.33.003,H21.33.004,H21.33.005,H21.33.009,H21.33.023,H21.33.044
ITGB4,7.995008351196279,8.184489360630604,7.976949737743335,7.326522584240226,7.493102019458521,7.836969120350105,7.386962908741472,7.589667187800024
ITGB5,7.069109892049446,6.499317020523173,6.28726199536793,6.77769100437265,6.894484200251164,6.846445931706915,6.743530630730132,7.085752053493281
ITGB8,7.959423207943536,7.289818167271891,7.408564624407964,7.5108884850398825,7.997907701912107,7.02395401037322,7.74820319551582,7.793120902443842
ITIH4,4.3789559113996965,4.7499060231325085,5.034692638411899,4.701736489276028,4.907426575315631,4.193364438949988,4.7677977046049245,4.089541900899981
ITM2B,6.557548167360468,7.112958024953458,7.194245559570669,6.585696359008026,7.010205173434869,6.354645817308837,7.019391726108274,6.293706274377276
ITM2C,6.76689939833402,7.390426783640476,6.92447172821095,6.879796900914928,7.297202211445368,5.749957840872131,7.393509107356531,7.139947634910261
ITPA,4.606166569251625,5.456766890946758,5.039137863928572,4.917681970092508,5.040974002332471,3.9739876374554255,5.200111593572278,5.24111242104335
ITPK1,7.018713425329987,6.219810609692957,6.560691790606221,6.716507520587218,6.888279313905136,6.818305432215102,6.7192839902572,7.055825178541912
ITPKB,9.051052792788987,8.546987903311052,8.97330525091209,8.61128612387858,8.552824692503757,9.647964972795178,8.675840298156757,8.86028684963401
ITPKC,6.981617266214575,5.740392679701165,7.3509292740822785,5.281487976788785,5.710880416018975,7.887211598864537,5.795707654408663,6.496012283066345
ITPR1,6.151861203596704,5.775682826377969,6.137865951365634,5.829573397154887,5.785473401463249,6.126251226626085,6.079262047502075,5.952174027844776
ITPR2,8.921050155495072,9.535363830064192,8.801332336849173,9.06400208726133,8.868580370033134,9.111298397160246,8.983452822114419,9.216363563649576
ITPRID2,6.794471447525974,6.841349908665472,6.701405731572172,6.563748117731976,6.939832799923485,6.208316829266863,6.71071065515316,6.659190812231661
ITPRIPL2,5.509827497848981,5.184303303584863,6.252282561554306,5.281487976788785,5.655499675970014,5.346082925228774,5.5773436406252435,5.57310151451077
ITSN1,8.40492391410775,8.228708671874232,8.703209815532459,8.546974496639216,8.417411715853344,8.519558119362578,8.396874678912798,8.524093530537487
ITSN2,7.071898479388971,6.899361082147002,6.94314564952958,7.009527279434904,6.970873632990675,7.069376814854866,6.969974216747092,7.024974982599628
IVD,5.913055879484738,6.425163075812847,6.418329883983985,6.276536131018262,6.205434809696267,5.749957840872131,6.158972883293044,6.178862272670161
IVNS1ABP,3.9673982332768736,4.712963150630496,4.484369805723631,4.402131432449688,4.914918204329158,4.657691205854373,4.195700224646237,4.467191345526168
IWS1,6.439010755629883,6.542514444020196,6.464166379724843,6.821508805387286,6.573959840015093,6.259509487480687,6.480582367872691,6.363539997187372
IZUMO4,5.1143038376432255,6.271282404368327,6.115442174473741,5.8993333626159306,5.840201140184387,4.525514373079963,5.963533916020077,5.57310151451077
JADE1,5.7133799023756024,5.531421685847352,5.7334800243522865,5.438479333620745,5.9143127174463554,5.6168810470422885,5.890496989492511,5.42944118242796
JADE2,4.970306738339245,5.05045385301418,5.069713159924202,4.5682268514457816,4.744442561802121,5.281862139363742,4.482944652380009,4.593646225841614
JAK1,8.029156773647738,8.084558333741814,8.196729089031367,8.379695398536683,8.013180444230038,7.857370014898704,8.220045502327427,8.161712113714914
JAK2,6.030143895023629,6.320234041347666,6.257542542128186,6.359841279771627,6.284373893901711,6.126251226626085,6.368899431634505,6.356772032960367
JAKMIP2,7.867009734973606,7.604611639851463,7.36576076988246,7.763395537568271,7.682013499095565,7.91141687332747,7.687271798487021,7.492029831069202
JAKMIP3,6.187553603872207,5.762594530731355,5.915262136177805,5.969580186192201,5.782343341335857,5.6168810470422885,5.835224797109299,6.039816652860951
JAM2,6.302106278839848,6.1858818041562005,6.095593007756579,6.346142835555236,6.357534932697325,5.790652510687637,6.436261855318097,6.363539997187372
