,H20.33.020,H20.33.044,H21.33.003,H21.33.004,H21.33.005,H21.33.009,H21.33.023,H21.33.044
RTCB,5.7499241350235355,6.007101233610405,5.971575256919141,6.063521779169047,5.7610336587072375,5.801378859118421,5.80792693550882,5.376877219177556
RTEL1,4.910164543308773,4.675853222195089,4.858203543058282,4.928413935771512,4.660476745225787,4.460405354706117,4.532921429086272,4.688341622538625
RTF1,5.527576022830544,5.8758359879980135,5.694561885006267,5.9843473773899865,5.675056864858906,5.5980615594171645,5.919490215176905,5.780800394572063
RTF2,6.073537749054792,6.002617930503135,5.995964751344914,5.948657105754025,5.801400097334562,5.9425830519269525,5.8798212579852605,5.780800394572063
RTKN,6.595401469391415,6.649672506288227,6.510126300141182,6.617497320922581,6.539485672213698,6.4234168665655185,6.674616829773538,6.5900145590989725
RTL8C,4.998484489881656,5.865582127826458,5.177272946921198,5.095129721229155,5.397445507239469,4.899464271981562,5.174948645054329,5.860605670660467
RTN1,7.841869626067483,7.434851896804084,7.39417557011243,7.432536860943277,7.591958165025739,7.65924245560907,7.4462217898910374,7.610786046982145
RTN3,7.84759571154845,7.881977579329925,7.922692725894995,7.766659799003804,8.078794528809397,7.692054598527672,7.8808366123062035,8.063802130198654
RTN4,9.296157805717803,9.125509363241944,9.108386338720557,9.09549288571272,9.399673469095138,9.478854727656191,9.155092486093183,9.408776858335077
RTN4IP1,5.38508662517512,5.577986291399757,5.5206940877230055,5.432288747972594,5.095368560953249,5.515531638638425,5.426955525014393,4.403722166748133
RTRAF,5.213198640935797,5.4919426870222505,5.324348462592722,5.4013682933457785,5.443759677450338,5.373558263572271,5.509803429334147,5.599095896199653
RTTN,7.238859270153084,7.382544488386751,7.236549971718483,7.306710866559802,7.040608512577571,6.974675193514081,7.187285701662452,7.336505530917328
RUBCN,6.099639105897126,6.2107765338365555,6.182280843793879,6.129331255461878,6.045865096062431,6.054781715522506,6.147086979634526,6.128198957729813
RUFY1,6.1675449478977615,6.284610742731225,6.279401460182017,6.422896378228508,6.35290522020195,6.335581993599004,6.324985810300297,6.003326506468523
RUFY2,7.410004061261825,7.509760378676394,7.443531523321163,7.437058154346751,7.385957344755591,7.237592576370223,7.35530559514776,7.467761366986694
RUFY3,8.112595713075784,7.846715954498134,8.087015291737618,7.908582665937387,7.8919808612366324,7.941263541198314,7.981851297403926,7.724061686323592
RUNDC3A,4.830094875190334,5.2754229733943525,4.880503841360574,4.82776605176771,4.95812522565251,5.1989985935432,4.778123438340111,4.909643091502606
RUNX1,5.644917225980327,5.09783255885661,5.641043300439249,5.124551485109696,5.2846600503489665,5.925161617547976,5.513979374803094,5.090734705542857
RUNX1T1,6.313862511711899,6.314658050276095,6.351169147907605,6.1650793325783395,5.892108943686297,6.540426045679984,5.913918659163968,6.067710608165849
RUNX2,5.480850053179154,5.9958550615495465,5.951626108501542,6.079588026394983,5.629127559374513,4.041622287454656,6.200925108546816,5.599095896199653
RUSC2,6.553149334412957,6.432422739188933,6.367919034563356,6.438601693495943,6.712699396065838,6.418063649734608,6.50422617934869,6.339092630910963
RWDD1,5.098931534019385,5.465385780575253,5.055406446467393,5.267135135682609,5.244049231655227,4.542481327358544,5.3165142325569175,4.909643091502606
RWDD3,4.984295623836757,5.915831280211703,5.290777469127075,5.391902597491213,5.647753177072491,4.524815528590234,5.716945418470175,5.090734705542857
RXRA,5.213198640935797,4.6501229049929345,5.204223972927681,4.461739662280068,4.708816238792449,4.981759096841091,4.820694984896229,3.3292788932067454
RXRB,4.496811853045692,5.293848149005159,4.592902440896808,5.060409477678285,4.799003757947385,4.642384615544033,4.778123438340111,5.376877219177556
RXYLT1,4.947916853478266,5.634743768719094,4.895099133156354,5.211757416036701,4.799003757947385,4.306596853708465,5.11467749247254,5.376877219177556
RYBP,8.36606623920392,8.530383642255172,8.351276224732613,8.432533883898728,8.43253212130169,8.43673397903729,8.37033939337768,8.198352650984932
RYK,6.6137776367859615,6.455541801740279,6.7711486985750025,6.59395433131603,6.558221085266941,6.382551272923192,6.786877142729557,6.727987588963613
