,H20.33.020,H20.33.044,H21.33.003,H21.33.004,H21.33.005,H21.33.009,H21.33.023,H21.33.044
NCEH1,5.430715320206271,5.052763664533665,5.358631796297544,4.789477507509237,5.082554696447337,4.28615311667302,5.277711403944835,4.866797718734177
NCF1,4.2485749737547645,3.8751820376348554,3.0486206461437604,4.1752139279641485,4.217284465140364,3.990852180000749,3.7617638527754194,4.949250522240923
NCF2,4.470517553709449,5.208534654048835,4.727919270707781,4.205060309378893,4.560147965918205,4.674714410639352,4.400258953116912,4.445523791215913
NCF4,3.821018291374536,4.731157145861376,4.244431003962695,4.159949898569763,4.011614391021077,3.7517547781136593,4.320324525373846,4.0219474281098835
NCK1,5.5835137067140455,5.906527070556685,5.383209589069379,5.82018931371662,5.760750898835203,5.114983501847094,5.804620326484029,5.642450846139009
NCK2,7.175403357848989,7.421855477799434,7.827904768326663,6.95701784531375,7.498128243064943,5.913642903340419,7.300331003239857,6.497967635983496
NCKAP1,3.625203671262735,4.172035015504244,4.16558290687236,4.539367763949246,4.560147965918205,3.5945866040108987,3.967641417598689,4.03997073121122
NCKAP1L,6.286720222859703,6.505216640934694,6.615134608757751,6.540713287989988,6.362920267932975,5.971713705521543,6.437919287595479,6.426676883119684
NCKAP5,6.4227136489193715,6.879961681994978,7.648439003045641,7.041523401724217,6.7118710143752205,6.640730394451487,6.888541559034343,6.701973060870793
NCKAP5L,4.726649628438124,4.96955211879101,4.930380395993933,5.09741215903154,4.814995525040949,4.4641430424255,4.9193106630989485,4.619905321333913
NCL,4.265005889679177,4.641606707697844,4.718524759926063,4.5072845193071736,4.253789643569114,3.687396201995855,4.504391298776709,4.409149632355012
NCLN,3.951807742890878,4.731157145861376,4.0976980402612595,3.649275743472809,3.7815556270903086,2.8291044463007293,3.6285839180151878,3.1497345925177704
NCOA1,7.1383407292290695,6.5926222786395545,6.984080823307761,6.973762192475663,7.116418829919206,6.837372587030851,7.026266246149232,7.08729224359062
NCOA2,7.147507853710975,6.705804120140387,6.584935861059239,6.958892234157074,7.076739074055359,6.725993886389787,6.917291604031714,7.114072417704227
NCOA3,6.6372066407620975,6.655290131501121,6.656752612462007,6.586585572734694,6.999248944050711,6.43623277251942,6.773729900180216,6.671590408952344
NCOA4,4.450412938953303,4.193213063770382,4.473784817089756,4.639436415004541,4.773232678193549,4.0387617682079515,4.616534247028631,4.629857115042747
NCOA5,4.6520376608854965,4.824551573630755,4.70904115465086,5.189423234945681,5.261227208667961,3.3160202031775565,4.844759698748495,4.503353243856911
NCOA6,5.5659201827548594,5.773384405581522,5.823747958389716,5.534468947095217,5.615688543543875,5.484130308605776,5.663018357941365,5.653184969133481
